"name", "slug"
"Pink Sugar","pinksugar"
"Pinrose","pinrose"
"Pirette","pirette"
"Pixi","pixi"
"Plant Apothecary","plantapothecary"
"PMD","pmd"
"Prada","prada"
"Pravana","pravana"
"Proactiv","proactiv"
"Psssst!","psssst"
"Punky Colour","punkycolour"
"PÜR","pur"
"Pura d'or","purador"
"Pureology","pureology"
"pursoma","pursoma"
"PYT Beauty","pytbeauty"
"Ralph Lauren","ralphlauren"
"RapidHair","rapidhair"
"Rapidlash","rapidlash"
"Real Techniques","realtechniques"
"Rebels Refinery","rebelsrefinery"
"Red Carpet Manicure","redcarpetmanicure"
"Redken","redken"
"Remington","remington"
"re:p","rep"
"Revlon","revlon"
"Revolution PRO","revolutionpro"
"REVOLUTION SKINCARE","revolutionskincare"
"Riki Loves Riki","rikilovesriki"
"RITUALS","rituals"
"Rituel de Fille","ritueldefille"
"Riviera","riviera"
"RoC","roc"
"Rosebud Perfume Co.","rosebudperfumeco"
"Rusk","rusk"
"Sagely Naturals","sagelynaturals"
"Sally Hansen","sallyhansen"
"SAND & SKY","sandandsky"
"Sara Happ","sarahapp"
"Scent-Organix","scentorganix"
"Schick","schick"
"Schmidts","schmidts"
"SCRATCH","scratch"
"Scünci","scunci"
"Sebastian","sebastian"
"Seche","seche"
"Secret","secret"
"Seed Phytonutrients","seedphytonutrients"
"SeroVital","serovital"
"Sexy Hair","sexyhair"
"Shaveworks","shaveworks"
"SheaMoisture","sheamoisture"
"Shimmer Lights","shimmerlights"
"Shiseido","shiseido"
"Skinfood","skinfood"
"simplehuman","simplehuman"
"SKIN&CO","skinandco"
"Silk'n","silkn"
"Skin Gym","skingym"
"SkinKick","skinkick"
"Skyn Iceland","skyniceland"
"Sleek MakeUP","sleekmakeup"
"Slip","slip"
"Smashbox","smashbox"
"SMITH & CULT","smithandcult"
"SNP","snp"
"Soap & Glory","soapandglory"
"SoCozy","socozy"
"SOL Body","solbody"
"Soo'AE","sooae"
"Spongeables","spongeables"
"Spotlight Oral Care","spotlightoralcare"
"Stila","stila"
"STMNT Grooming Goods","stmntgroominggoods"
"St. Moriz","stmoriz"
"Storybook Cosmetics","storybookcosmetics"
"StriVectin","strivectin"
"St. Tropez","sttropez"
"Sugarbearhair","sugarbearhair"
"SUGARPILL","sugarpill"
"Sun Bum","sunbum"
"SUNDAY RILEY","sundayriley"
"Sunshine & Glitter","sunshineandglitter"
"Supersmile","supersmile"
"Tangle Teezer","tangleteezer"
"TAN-LUXE","tanluxe"
"Tanologist","tanologist"
"Sweet & Shimmer","sweetandshimmer"
"SweetSpot Labs","sweetspotlabs"
"S'well","swell"
"Tan Towel","tantowel"
"Tartan + Twine","tartanandtwine"
"Tarte","tarte"
"Teami Blends","teamiblends"
"Tend Skin","tendskin"
"Terra Beauty Bars","terrabeautybars"
"tgin","tgin"
"THANN","thann"
"Thayers","thayers"
"The Body Shop","thebodyshop"
"The Crème Shop","thecrèmeshop"
"The Fox Tan","thefoxtan"
"The Good Stuff","thegoodstuff"
"The Handmade Soap Co.","thehandmadesoapco"
"The Mane Choice","themanechoice"
"THE OOZOO","theoozoo"
"The Ordinary","theordinary"
"The Original MakeUp Eraser","theoriginalmakeuperaser"
"THE ROUTE","theroute"
"The Sign Tribe","thesigntribe"
"The Vamp Stamp","thevampstamp"
"The Vintage Cosmetic Company","thevintagecosmeticcompany"
"Thick Head","thickhead"
"this works","thisworks"
"Tiffany & Co.","tiffany&co."
"Tigi","tigi"
"TOM FORD","tomford"
"TONYMOLY","tonymoly"
"Too Faced","toofaced"
"Too Cool For School","toocoolforschool"
"Toppik","toppik"
"Tory Burch","toryburch"
"Touch In Sol","touchinsol"
"Touchland","touchland"
"Tree Hut","treehut"
"Tresemme","tresemme"
"Truly","truly"
"Tula","tula"
"Turbie Twist","turbietwist"
"Tweezerman","tweezerman"
"ULTA","ulta"
"Uberliss","uberliss"
"Tyme","tyme"
